"moral_id","book_id","title","AuthorFirstName","AuthorLastName","Date","Language","Country","Class","model","input_type","moral_num","moral"
2268,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Gemini","memory",3,"Shared laughter bridges the deepest generational divides."
2269,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","full_text",1,"A taste of joy can transform even the most set-in-their-ways soul."
2270,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","full_text",2,"Love redeems the wayward more surely than punishment ever could."
2271,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","full_text",3,"Deception born of kindness may be the truest form of honesty."
2272,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","chunk_summary",1,"Reckless youth is no match for the patient love of those who refuse to give up on you."
2273,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","chunk_summary",2,"Misunderstandings are the seeds of heartbreak, but honesty is the soil in which love grows."
2274,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","chunk_summary",3,"The greatest adventures are not the wild ones, but the ones that lead you home."
2275,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","plotArc_summary",1,"Love can reform what punishment never could."
2276,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","plotArc_summary",2,"A kind deception may mend what a harsh truth has broken."
2277,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","plotArc_summary",3,"Forgiveness flows most freely to those who earn it humbly."
2278,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","memory",1,"Youth is contagious when the heart stays open."
2279,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","memory",2,"Meddling in love often plants the very seeds it meant to uproot."
2280,"00002703.txt","The rejuvenation of Aunt Mary","Anne","Warner",1905,"English","American","LOWLIB","Claude","memory",3,"A sharp tongue and a generous spirit can live comfortably under the same roof."
2281,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","full_text",1,"Pride and secrecy turn love into tragedy."
2282,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","full_text",2,"Ambition without integrity destroys what success cannot replace."
2283,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","full_text",3,"Seeing people as symbols blinds us to the hearts we wound."
2284,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","chunk_summary",1,"Love tangled with pride and ambition leaves every heart wounded."
2285,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","chunk_summary",2,"Power built on class, secrecy, and manipulation cannot hold forever."
2286,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","chunk_summary",3,"Too late, people often discover the worth of what they used for their own ends."
2287,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","plotArc_summary",1,"Love cannot flourish where ambition wears its mask."
2288,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","plotArc_summary",2,"Pride and secrecy turn marriage into a prison."
2289,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","plotArc_summary",3,"Letting go of a false claim is the first act of true nobility."
2290,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","memory",1,"Power without principle soon betrays its holder."
2291,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","memory",2,"A town’s true strength lies in the character of its people."
2292,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","GPT","memory",3,"Ambition wins office, but integrity earns lasting respect."
2293,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","full_text",1,"Rebellion against one's roots often mistakes a romantic illusion for true love."
2294,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","full_text",2,"The pursuit of power and social revenge frequently blinds a man to the genuine affection right before his eyes."
2295,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","full_text",3,"True compatibility is forged through shared understanding, not by treating a partner as a project to be molded."
2296,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","chunk_summary",1,"Unchecked ambition often costs us the very love that could have saved us."
2297,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","chunk_summary",2,"A foundation built on secrets will eventually crumble under the weight of truth."
2298,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","chunk_summary",3,"Love treated as a calculated project will ultimately betray its architect."
2299,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","plotArc_summary",1,"Ambition is a hollow substitute for genuine love."
2300,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","plotArc_summary",2,"True freedom comes from relinquishing what was never truly yours."
2301,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","plotArc_summary",3,"Social boundaries are powerless against the authentic desires of the heart."
2302,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","memory",1,"Ambition can elevate a man's station, but it cannot erase the ingrained habits of his origins."
2303,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","memory",2,"A marriage concealed for the sake of pride inevitably becomes a prison for the soul."
2304,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Gemini","memory",3,"Political power is a fragile facade when built upon a divided and inauthentic life."
2305,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","full_text",1,"A secret marriage built on romance rather than respect is no marriage at all."
2306,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","full_text",2,"Ambition without integrity leaves wreckage in its wake for the innocent and guilty alike."
2307,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","full_text",3,"True nobility lies not in birth or station, but in the grace to surrender what you cannot rightly keep."
2308,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","chunk_summary",1,"Ambition without integrity leaves you with neither love nor honor."
2309,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","chunk_summary",2,"The heart we ignore will find us when we least expect it."
2310,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","chunk_summary",3,"Class and pride build walls that trap the builder inside."
2311,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","plotArc_summary",1,"Ambition without love is a cage that imprisons both the keeper and the kept."
2312,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","plotArc_summary",2,"Those who chase status often lose the very people who truly valued them."
2313,"00002769.txt","The mayor of Warwick","Herbert M.","Hopkins",1906,"English","American","LOWLIB","Claude","plotArc_summary",3,"Only by releasing what was never truly yours can you find what is meant to be."
2314,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","full_text",1,"The past lives in us, whether we understand it or not."
2315,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","full_text",2,"Compassion and loyalty are stronger than brute force."
2316,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","full_text",3,"Those who refuse to adapt are left behind by the world."
2317,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","chunk_summary",1,"The past never sleeps in the blood."
2318,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","chunk_summary",2,"Cruelty may rule for a season, but courage and loyalty outlast it."
2319,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","chunk_summary",3,"To survive a changing world, we must learn, adapt, and move on."
2320,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","plotArc_summary",1,"Adapt or perish."
2321,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","plotArc_summary",2,"Survival favors those who learn to trust and cooperate."
2322,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","plotArc_summary",3,"Sometimes the greatest victory is escaping to build a safer future."
2323,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","memory",1,"The past still lives in the instincts we carry."
2324,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","memory",2,"Survival favors the adaptable, not merely the strong."
2325,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","GPT","memory",3,"Fear can chain a life until courage breaks it."
2326,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","full_text",1,"True survival relies not on brute strength, but on the power of innovation and adaptability."
2327,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","full_text",2,"Without the bonds of communication and cooperation, even the swiftest and strongest are destined to fall."
2328,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","full_text",3,"The relentless march of evolution leaves behind those who cling to the brutal instincts of the past."
2329,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","chunk_summary",1,"The shadows of our primitive ancestors forever linger in the depths of the modern mind."
2330,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","chunk_summary",2,"Adaptability, rather than brute strength, is the ultimate key to survival in a changing world."
2331,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","chunk_summary",3,"The relentless march of technological progress often leaves the destruction of the vulnerable in its wake."
2332,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","plotArc_summary",1,"Survival favors the united, not just the strong."
2333,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","plotArc_summary",2,"Innovation is the ultimate weapon against extinction."
2334,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","plotArc_summary",3,"The greatest victory in a brutal world is living to see tomorrow."
2335,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","memory",1,"Progress is a ruthless fire that consumes those who cannot adapt."
2336,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","memory",2,"The true dawn of humanity begins with the first spark of selfless friendship."
2337,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Gemini","memory",3,"The savage echoes of our ancestors slumber just beneath the veneer of civilization."
2338,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","full_text",1,"We carry the fears of our ancestors in our blood."
2339,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","full_text",2,"Survival belongs to those who cooperate, not those who dominate."
2340,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","full_text",3,"The past is never truly gone — it lives on through those who come after."
2341,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","chunk_summary",1,"The past lives in our bones whether we invite it or not."
2342,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","chunk_summary",2,"Survival belongs to those who adapt, not those who dominate."
2343,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","chunk_summary",3,"Mockery silences truth, but cannot erase it."
2344,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","plotArc_summary",1,"Survival belongs to those who adapt, not those who dominate."
2345,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","plotArc_summary",2,"Even the weakest bond can outlast the mightiest horde."
2346,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","plotArc_summary",3,"Progress for some often comes at the cost of others."
2347,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","memory",1,"The past lives in our blood whether we choose to remember it or not."
2348,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","memory",2,"Survival favors those who adapt, not those who cling to comfort."
2349,"00002786.txt","Before Adam","Jack","London",1906,"English","American","LOWLIB","Claude","memory",3,"Even primitive hearts know loyalty, love, and loss."
2350,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","full_text",1,"Kindness can mend the harm that pride and misunderstanding create."
2351,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","full_text",2,"Real talent needs honesty as much as ambition needs dreams."
2352,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","full_text",3,"Joy grows when people choose generosity over self-importance."
2353,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","chunk_summary",1,"Kindness and honesty can turn awkward mistakes into lasting friendship."
2354,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","chunk_summary",2,"Children chase adventure, but grown hearts are just as unruly."
2355,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","chunk_summary",3,"Fame matters less than the quiet people who steady us when life goes sideways."
2356,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","plotArc_summary",1,"Misunderstanding can wound faster than truth can speak."
2357,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","plotArc_summary",2,"Pride softens when honesty makes amends."
2358,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","plotArc_summary",3,"Talent may open doors, but kindness builds the future."
2359,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","memory",1,"Love tested by hardship grows truer, not weaker."
2360,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","memory",2,"Pride and misunderstanding can cloud even the clearest hearts."
2361,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","GPT","memory",3,"In the mountains of uncertainty, courage and patience light the way."
2362,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","full_text",1,"A careless jest can inflict deep wounds, but sincere amends can forge the most unexpected bonds."
2363,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","full_text",2,"The pursuit of rigid ambition often blinds us to the messy, joyful realities of true human connection."
2364,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","full_text",3,"The unscripted innocence of childhood is the greatest remedy for the rigid pretensions of the adult world."
2365,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","chunk_summary",1,"Honest communication easily untangles the complicated webs woven by pride and misunderstanding."
2366,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","chunk_summary",2,"Through the innocent eyes of children, even illness and discipline are transformed into grand adventures."
2367,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","chunk_summary",3,"Genuine connection and everyday kindness hold far more value than the hollow pursuit of fame."
2368,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","plotArc_summary",1,"Never let a hasty assumption author the end of a relationship."
2369,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","plotArc_summary",2,"Lowering your strict defenses is the first step toward unexpected happiness."
2370,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","plotArc_summary",3,"An honest mistake, swiftly corrected, can transform resentment into romance."
2371,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","memory",1,"Innocence builds bridges where adult pride builds walls."
2372,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","memory",2,"Shared adventures forge stronger bonds than inherited prejudices."
2373,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Gemini","memory",3,"The quiet majesty of nature puts petty human grievances into perspective."
2374,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","full_text",1,"A careless joke can wound more deeply than a deliberate cruelty."
2375,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","full_text",2,"Perseverance in the face of repeated failure is its own quiet heroism."
2376,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","full_text",3,"The home you make for others is the truest measure of your worth."
2377,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","chunk_summary",1,"Kindness between neighbors can turn strangers into allies."
2378,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","chunk_summary",2,"Even the famous stumble when pride meets honest work."
2379,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","chunk_summary",3,"Children's mischief has a way of untangling adult knots."
2380,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","plotArc_summary",1,"Misunderstandings dissolve when honesty steps forward."
2381,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","plotArc_summary",2,"Rigid rules cannot wall out the connections the heart seeks."
2382,"00002830.txt","In the mist of the mountains","Ethel Sybil","Turner",1906,"English","Australian","LOWLIB","Claude","plotArc_summary",3,"Even the greatest stumble can become a stepping stone to something better."
2383,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","full_text",1,"Hope works hardest when love refuses to give up."
2384,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","full_text",2,"Small sacrifices can save great dreams."
2385,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","full_text",3,"True Christmas lives in generous hearts, not in rich gifts."
2386,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","chunk_summary",1,"Hope is rebuilt by small hands and stubborn hearts."
2387,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","chunk_summary",2,"A child’s sacrifice can rekindle a broken spirit."
2388,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","chunk_summary",3,"Perseverance turns the brink of failure into a Christmas miracle."
2389,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","plotArc_summary",1,"Hope built together can outlast the hardest winter."
2390,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","plotArc_summary",2,"Perseverance turns broken plans into new beginnings."
2391,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","plotArc_summary",3,"Quiet acts of love can power miracles."
2392,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","memory",1,"Hope can build a home where hardship would build a prison."
2393,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","memory",2,"A small community survives when courage and compassion outlast fear."
2394,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","GPT","memory",3,"Dreams endure only when people choose sacrifice over selfishness."
2395,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","full_text",1,"Hope shines brightest just before the dawn of success."
2396,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","full_text",2,"Selfless sacrifice is the truest expression of love."
2397,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","full_text",3,"The unwavering faith of a family can power the engine of impossible dreams."
2398,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","chunk_summary",1,"Breakthroughs often arrive in the very moment we surrender to despair."
2399,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","chunk_summary",2,"The quiet sacrifices of loved ones are the true engine of any great achievement."
2400,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","chunk_summary",3,"Shared imagination and love can build a fortress of hope against the harshest poverty."
2401,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","plotArc_summary",1,"The greatest achievements are often powered by the quiet sacrifices of loved ones."
2402,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","plotArc_summary",2,"Shared imagination can sustain the human spirit when material wealth fails."
2403,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","plotArc_summary",3,"Unwavering perseverance through the darkest hours invites the dawn of success."
2404,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","memory",1,"Even the smallest sanctuary of hope can sustain the spirit through the darkest adversity."
2405,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","memory",2,"Unwavering perseverance transforms the fragile architecture of dreams into tangible reality."
2406,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Gemini","memory",3,"The truest wealth is found in the unbreakable bonds of family and shared belief."
2407,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","full_text",1,"Hope kept alive through shared sacrifice outlasts every defeat."
2408,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","full_text",2,"A child's small act of courage can restore a broken man's will to endure."
2409,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","full_text",3,"Love given freely, without expectation of return, is the only investment that never fails."
2410,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","chunk_summary",1,"The darkest hour is just before the dawn."
2411,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","chunk_summary",2,"A child's small sacrifice can rekindle a grown man's greatest hope."
2412,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","chunk_summary",3,"Love and faith from those who believe in us are the true engines of invention."
2413,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","plotArc_summary",1,"Love expressed through quiet sacrifice can turn despair into triumph."
2414,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","plotArc_summary",2,"Perseverance in the face of ruin is the true engine of success."
2415,"00002862.txt","Little city of hope","F. Marion","Crawford",1907,"English","American","LOWLIB","Claude","plotArc_summary",3,"Even the darkest season yields to those who refuse to abandon hope."
2416,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","full_text",1,"True friendship carries you through the darkest wilderness."
2417,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","full_text",2,"Greed can uncover treasure, but it also buries men."
2418,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","full_text",3,"Courage means facing danger wisely, not blindly."
2419,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","chunk_summary",1,"In the wild, survival belongs to those who stand by one another."
2420,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","chunk_summary",2,"Greed can bury men faster than winter ever could."
2421,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","chunk_summary",3,"Courage is not the absence of fear, but the will to press on through it."
2422,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","plotArc_summary",1,"Fortune favors those who endure the cold and keep moving."
2423,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","plotArc_summary",2,"Greed may spark the journey, but loyalty is what gets you home."
2424,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","plotArc_summary",3,"In the wild, courage matters most when danger closes in."
2425,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","memory",1,"Courage is proven when loyalty outlasts fear."
2426,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","memory",2,"In the wilderness, respect for nature is the first law of survival."
2427,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","GPT","memory",3,"True friendship turns even the fiercest hunt into a shared triumph."
2428,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","full_text",1,"True brotherhood is forged in the fires of shared hardship."
2429,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","full_text",2,"The selfish pursuit of wealth often leaves nothing but bones in its wake."
2430,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","full_text",3,"Courage and adaptability are the true currency of the untamed wilderness."
2431,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","chunk_summary",1,"True loyalty and brotherhood are the greatest shields against an unforgiving wilderness."
2432,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","chunk_summary",2,"Greed builds a tomb of gold, proving that wealth is worthless without life."
2433,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","chunk_summary",3,"The harsh trials of nature strip away the superficial to forge true courage and resilience."
2434,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","plotArc_summary",1,"Shared strength is the greatest weapon against a merciless wilderness."
2435,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","plotArc_summary",2,"True victory lies in surviving today's perils to chase tomorrow's treasures."
2436,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","plotArc_summary",3,"The harshest winters forge the most resilient spirits."
2437,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","memory",1,"Shared hardship in the wild forges unbreakable bonds of brotherhood."
2438,"00002978.txt","The wolf hunters","James Oliver","Curwood",1908,"English","American","LOWLIB","Gemini","memory",2,"The wilderness yields its treasures only to those who respect its deadly power."
